x:	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.2	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.3	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.4	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.5	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.6	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.7	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.8	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.9	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99
Accurate:	0.3211	0.4423	0.4901	0.5108	0.5216	0.5288	0.5345	0.5398	0.5449	0.5500	0.5550	0.5600	0.5650	0.5700	0.5750	0.5800	0.5850	0.5900	0.5950	0.6000	0.6050	0.6100	0.6150	0.6200	0.6250	0.6300	0.6350	0.6400	0.6450	0.6500	0.6550	0.6600	0.6650	0.6700	0.6750	0.6800	0.6850	0.6900	0.6950	0.7000	0.7050	0.7100	0.7150	0.7200	0.7250	0.7300	0.7350	0.7400	0.7450	0.7500	0.7550	0.7600	0.7650	0.7700	0.7750	0.7800	0.7850	0.7900	0.7950	0.8000	0.8050	0.8100	0.8150	0.8200	0.8250	0.8300	0.8350	0.8400	0.8450	0.8500	0.8550	0.8600	0.8650	0.8700	0.8750	0.8800	0.8850	0.8900	0.8950	0.9000	0.9050	0.9100	0.9150	0.9200	0.9250	0.9300	0.9350	0.9400	0.9450	0.9500	0.9550	0.9600	0.9650	0.9700	0.9750	0.9800	0.9850	0.9900	0.9950

Jacobi Result:	0.2553	0.3855	0.4530	0.4893	0.5099	0.5226	0.5315	0.5384	0.5443	0.5498	0.5550	0.5601	0.5651	0.5701	0.5751	0.5801	0.5851	0.5901	0.5951	0.6000	0.6050	0.6100	0.6150	0.6200	0.6250	0.6300	0.6350	0.6400	0.6450	0.6500	0.6550	0.6600	0.6650	0.6700	0.6750	0.6800	0.6850	0.6900	0.6950	0.7000	0.7050	0.7100	0.7150	0.7200	0.7250	0.7300	0.7350	0.7400	0.7450	0.7500	0.7550	0.7600	0.7650	0.7700	0.7750	0.7800	0.7850	0.7900	0.7950	0.8000	0.8050	0.8100	0.8150	0.8200	0.8250	0.8300	0.8350	0.8400	0.8450	0.8500	0.8550	0.8600	0.8650	0.8700	0.8750	0.8800	0.8850	0.8900	0.8950	0.9000	0.9050	0.9100	0.9150	0.9200	0.9250	0.9300	0.9350	0.9400	0.9450	0.9500	0.9550	0.9600	0.9650	0.9700	0.9750	0.9800	0.9850	0.9900	0.9950
Jacobi Error:	0.0657	0.0569	0.0371	0.0216	0.0118	0.0061	0.0031	0.0014	0.0006	0.0002	0.0000	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000

G-S Result:	0.2551	0.3852	0.4527	0.4889	0.5095	0.5223	0.5312	0.5381	0.5441	0.5496	0.5548	0.5599	0.5650	0.5700	0.5750	0.5800	0.5850	0.5900	0.5950	0.6000	0.6050	0.6100	0.6150	0.6200	0.6250	0.6300	0.6350	0.6400	0.6450	0.6500	0.6550	0.6600	0.6650	0.6700	0.6750	0.6800	0.6850	0.6900	0.6950	0.7000	0.7050	0.7100	0.7150	0.7200	0.7250	0.7300	0.7350	0.7400	0.7450	0.7500	0.7550	0.7600	0.7650	0.7700	0.7750	0.7800	0.7850	0.7900	0.7950	0.8000	0.8050	0.8100	0.8150	0.8200	0.8250	0.8300	0.8350	0.8400	0.8450	0.8500	0.8550	0.8600	0.8650	0.8700	0.8750	0.8800	0.8850	0.8900	0.8950	0.9000	0.9050	0.9100	0.9150	0.9200	0.9250	0.9300	0.9350	0.9400	0.9450	0.9500	0.9550	0.9600	0.9650	0.9700	0.9750	0.9800	0.9850	0.9900	0.9950
G-S Error:	0.0659	0.0572	0.0374	0.0219	0.0121	0.0064	0.0033	0.0017	0.0008	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000

SOR Result:	0.2552	0.3853	0.4528	0.4890	0.5096	0.5224	0.5313	0.5382	0.5441	0.5496	0.5548	0.5599	0.5650	0.5700	0.5750	0.5800	0.5850	0.5900	0.5950	0.6000	0.6050	0.6100	0.6150	0.6200	0.6250	0.6300	0.6350	0.6400	0.6450	0.6500	0.6550	0.6600	0.6650	0.6700	0.6750	0.6800	0.6850	0.6900	0.6950	0.7000	0.7050	0.7100	0.7150	0.7200	0.7250	0.7300	0.7350	0.7400	0.7450	0.7500	0.7550	0.7600	0.7650	0.7700	0.7750	0.7800	0.7850	0.7900	0.7950	0.8000	0.8050	0.8100	0.8150	0.8200	0.8250	0.8300	0.8350	0.8400	0.8450	0.8500	0.8550	0.8600	0.8650	0.8700	0.8750	0.8800	0.8850	0.8900	0.8950	0.9000	0.9050	0.9100	0.9150	0.9200	0.9250	0.9300	0.9350	0.9400	0.9450	0.9500	0.9550	0.9600	0.9650	0.9700	0.9750	0.9800	0.9850	0.9900	0.9950
SOR Error:	0.0659	0.0571	0.0373	0.0218	0.0120	0.0064	0.0033	0.0017	0.0008	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000

